Period,Hex Code
Primordial,#FFE599
Planck,#EC501C
Grand Unification,#EC731C
Inflationary,#E58220
Electroweak,#E59B20
Quark,#E5AB1C
Hadron,#E2BF10
Lepton,#ECDA10
Proton,#F3F30D
Stelliferous,#B5F1FD
Recombination,#68BBEC
Dark Ages,#434343
Star Formation (Reionization),#1C4587
Cosmic Dawn,#EE8ABE
Cosmic Morning,#FFD966
COSMIC NOON,#F6B26B
Cosmic Afternoon,#FA856D
Hadean,#CF4646
Archean,#93C47D
Eoarchean,#B95E4C
Paleoarchean,#A55C38
Mesoarchean,#BE7A41
Neoarchean,#D1A752
Proterozoic,#3F9E7E
Paleoproterozoic,#3C78D8
Mesoproterozoan,#46A0D6
Neoproterozoan,#4EC3DB
Phanerozoic,#5AD273
Paleozoic,#9148B6
Cambrian,#CF4646
Ordovician,#D47148
Silurian,#D9A168
Devonian,#DDB15A
Carboniferous,#EACF46
Permian,#F3EC4F
Mesozoic,#C758C7
Triassic,#58D6C1
Jurassic,#47E5A3
Cretaceous,#3EE962
Cenozoic,#DB82DE
Paleogene,#A55C38
Paleocene,#3C78D8
Eocene,#3D85C6
Oligocene,#46A0D6
Neogene,#BE7A41
Miocene,#E69138
Pliocene,#F6B26B
Quarternary,#D1A752
Pleistocene,#3F9E7E
Gelasian,#BE7A41
Calabrian,#D1A752
Chibanian,#D9A168
Upper Pleistocene,#F4D28D
Holocene,
Greenlandian,#C758C7
Northgrippian,#EC6F9E
Meghalayan,#EF7979
T            O            D            A           Y,#D9D9D9
